"","ColonyID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Timepoint","Run","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","Surface_Area_cm2"
"1","242",2.07172912349775,0.00584326481468631,-1.14291824608856,354.549928712921,0.928810877409194,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10
"2","42",3.16682106641019,0.00565040892882923,-1.28063297870076,560.458739588315,1.88618808770944,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10
"3","204",2.05381238768945,0.00865905160078768,-0.985383772573321,237.186759286966,1.06842861511612,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10
"4","41",3.8529195261482,0.00727251574938169,-1.43585728737933,529.791843555069,2.41706223876887,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10
"5","238",4.12758508072507,0.00994920907828043,-1.78700180681949,414.865648942464,2.34058327390558,2026-01-21,"CAREER - Phys","January_2026",4,1,"Porites compressa","Resistant",247.105,NA,NA,NA,NA,10
"6","236",2.60961230887446,0.00766727486099112,-0.978148876888175,340.35721376723,1.63146343198629,2026-01-21,"CAREER - Phys","January_2026",3,2,"Porites compressa","Resistant",240.89,NA,NA,NA,NA,10
"7","233",3.55866949340182,0.0070883214552009,-1.31356660785088,502.046854942043,2.24510288555093,2026-01-21,"CAREER - Phys","January_2026",3,1,"Porites compressa","Susceptible",242.742,"Decreasing at 10% light but increasing at all other light levels",NA,NA,NA,10
"8","4",1.74000451114127,0.00675316560472529,-0.748278394974133,257.657610221163,0.991726116167138,2026-01-21,"CAREER - Phys","January_2026",5,6,"Montipora capitata","Resistant",246.337,NA,NA,NA,NA,10
"9","3",4.48745230253456,0.0140953990972814,-2.29587337474237,318.362912008648,2.19157892779219,2026-01-21,"CAREER - Phys","January_2026",2,8,"Montipora capitata","Susceptible",248.114,NA,NA,NA,NA,10
"10","247",2.93115241035149,0.00775938584964594,-1.36262751272625,377.755722830208,1.56852489762524,2026-01-21,"CAREER - Phys","January_2026",1,1,"Porites compressa","Susceptible",241.081,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,10
"11","239",2.4554763041085,0.00591982719409466,-1.09654054171981,414.788510475098,1.35893576238869,2026-01-21,"CAREER - Phys","January_2026",4,7,"Porites compressa","Susceptible",245.465,NA,NA,NA,NA,10
"12","27",3.59764318391132,0.00752962607804079,-1.34186914559152,477.798385553751,2.25577403831979,2026-01-21,"CAREER - Phys","January_2026",1,10,"Porites compressa","Resistant",248.252,NA,NA,NA,NA,10
"13","221",1.94013568314776,0.0072760064795459,-0.736321616607204,266.648427073534,1.20381406654055,2026-01-21,"CAREER - Phys","January_2026",4,3,"Montipora capitata","Susceptible",234.127,NA,NA,NA,NA,10
"14","235",1.5446677301162,0.00312799979806608,-0.623477943796724,493.819638694097,0.921189786319477,2026-01-21,"CAREER - Phys","January_2026",3,8,"Porites compressa","Susceptible",246.339,NA,NA,NA,NA,10
"15","209",3.48189916750364,0.00962186288290505,-1.40391505773303,361.873704694946,2.07798410977061,2026-01-21,"CAREER - Phys","January_2026",3,7,"Montipora capitata","Susceptible",243.631,NA,NA,NA,NA,10
"16","20",2.80529352458133,0.00934856075520835,-1.35931624300538,300.07758392311,1.44597728157595,2026-01-21,"CAREER - Phys","January_2026",1,2,"Montipora capitata","Resistant",244.051,NA,NA,NA,NA,10
"17","241",2.37248153836044,0.00585658342853939,-1.46613921516788,405.096515282141,0.906342323192562,2026-01-21,"CAREER - Phys","January_2026",4,5,"Porites compressa","Susceptible",246.6,NA,NA,NA,NA,10
"18","19",2.11904436833256,0.0076687871486535,-1.05169146761492,276.320665478977,1.06735290071764,2026-01-21,"CAREER - Phys","January_2026",4,8,"Montipora capitata","Susceptible",245.579,"Remove 10% light level from this coral",NA,NA,NA,10
"19","225",2.33452069330082,0.0049275568835746,-0.946270638605927,473.768390392946,1.38825005469489,2026-01-21,"CAREER - Phys","January_2026",5,8,"Porites compressa","Susceptible",236.884,NA,NA,NA,NA,10
"20","206",2.01546097883358,0.00897233446652507,-0.849163079356227,224.630611615413,1.16629789947735,2026-01-21,"CAREER - Phys","January_2026",1,9,"Montipora capitata","Resistant",241.651,NA,NA,NA,NA,10
"21","2",1.13179820038575,0.00420188121425443,-0.491870416965147,269.355115643499,0.639927783420602,2026-01-21,"CAREER - Phys","January_2026",1,4,"Montipora capitata","Resistant",244.208,"This nub is quite small",NA,NA,NA,10
"22","248",3.58418457009281,0.00884996319126409,-1.24390602997631,404.994291233979,2.34027854011649,2026-01-21,"CAREER - Phys","January_2026",2,5,"Porites compressa","Resistant",238.956,NA,NA,NA,NA,10
"23","28",3.87986162671246,0.00902076683817525,-1.5914351544467,430.103304554238,2.28842647226576,2026-01-21,"CAREER - Phys","January_2026",1,8,"Porites compressa","Susceptible",233.57,NA,NA,NA,NA,10
"24","226",0.547773253859788,0.00229024161614908,-0.356892883234395,239.177058873308,0.190880370625392,2026-01-21,"CAREER - Phys","January_2026",4,4,"Porites compressa","Resistant",232.514,"Large nub",NA,NA,NA,10
"25","243",2.90676534616646,0.00839189854837882,-1.27289783380076,346.377560382686,1.6338675123657,2026-01-21,"CAREER - Phys","January_2026",5,5,"Porites compressa","Susceptible",237.472,NA,NA,NA,NA,10
"26","240",4.45275482370033,0.0122127542567323,-2.20149760791267,364.598740799662,2.25125721578765,2026-01-21,"CAREER - Phys","January_2026",5,4,"Porites compressa","Resistant",242.319,NA,NA,NA,NA,10
"27","214",2.44678071316178,0.00777377631535639,-0.994950608129777,314.748021283862,1.451830105032,2026-01-21,"CAREER - Phys","January_2026",3,9,"Montipora capitata","Resistant",240.39,NA,NA,NA,NA,10
"28","26",1.38229221344207,0.00518264705297661,-0.761154266780956,266.715483287282,0.62113794666111,2026-01-21,"CAREER - Phys","January_2026",3,3,"Porites compressa","Susceptible",237.51,"Decreasing at 10% light but increasing at all other light levels",NA,NA,NA,10
"29","203",2.02783288310014,0.0102208264645916,-0.852479891365781,198.40204606988,1.17535299173436,2026-01-21,"CAREER - Phys","January_2026",3,5,"Montipora capitata","Susceptible",245.852,NA,NA,NA,NA,10
"30","202",2.5167814999024,0.00826315547912716,-1.16867901084175,304.578741893436,1.34810248906065,2026-01-21,"CAREER - Phys","January_2026",4,6,"Montipora capitata","Resistant",240,"get from dark runs",NA,NA,NA,10
"31","12",2.51819431568332,0.00678643075829547,-1.19911416600414,371.063141343508,1.31908014967919,2026-01-21,"CAREER - Phys","January_2026",2,1,"Montipora capitata","Resistant",242.586,NA,NA,NA,NA,10
"32","244",2.54049158896813,0.00646797853437985,-1.15518260730388,392.779842336275,1.38530898166425,2026-01-21,"CAREER - Phys","January_2026",5,3,"Porites compressa","Resistant",234.978,NA,NA,NA,NA,10
"33","43",3.050284115009,0.00585833284965119,-1.247763129052,520.674429618764,1.802520985957,2026-01-21,"CAREER - Phys","January_2026",2,9,"Porites compressa","Susceptible",243.051,NA,NA,NA,NA,10
"34","44",3.83952475109694,0.00650996739861795,-1.42420545015451,589.791701861988,2.41531930094243,2026-01-21,"CAREER - Phys","January_2026",4,9,"Porites compressa","Resistant",239.332,NA,NA,NA,NA,10
"35","234",2.38199352549296,0.00485259369890362,-1.12694374985049,490.870176506048,1.25504977564247,2026-01-21,"CAREER - Phys","January_2026",2,7,"Porites compressa","Resistant",245.138,NA,NA,NA,NA,10
"36","29",4.93859397033665,0.0112370029844647,-2.0597765820705,439.493873692507,2.87881738826615,2026-01-21,"CAREER - Phys","January_2026",1,5,"Porites compressa","Resistant",233.598,NA,NA,NA,NA,10
"37","201",1.46063647641114,0.0051388274375885,-0.817311385674249,284.235361889593,0.643325090736889,2026-01-21,"CAREER - Phys","January_2026",1,7,"Montipora capitata","Susceptible",238.784,NA,NA,NA,NA,10
"38","211",1.53910453169132,0.00531712044003807,-0.689971888064971,289.462040412291,0.849132643626345,2026-01-21,"CAREER - Phys","January_2026",2,4,"Montipora capitata","Susceptible",238.385,NA,NA,NA,NA,10
"39","237",4.54075258253697,0.0127077333928419,-1.97923019110189,357.321989859712,2.56152239143508,2026-01-21,"CAREER - Phys","January_2026",2,6,"Porites compressa","Susceptible",236.169,NA,NA,NA,NA,10
